accession_code,go_id,category
P04637,GO:0003677,F
P04637,GO:0001228,F
P04637,GO:0003700,F
P04637,GO:0000981,F
P04637,GO:0001227,F
P04637,GO:0019899,F
P04637,GO:0140296,F
P04637,GO:0042826,F
P04637,GO:0042802,F
P04637,GO:0140693,F
P04637,GO:0140677,F
P04637,GO:0003730,F
P04637,GO:0002039,F
P04637,GO:1990841,F
P04637,GO:0002020,F
P04637,GO:0046982,F
P04637,GO:0051721,F
P04637,GO:0051087,F
P04637,GO:0030971,F
P04637,GO:0000978,F
P04637,GO:0061629,F
P04637,GO:0001094,F
P04637,GO:0000976,F
P04637,GO:0031625,F
P04637,GO:0008270,F
P04637,GO:0006914,P
P04637,GO:0048539,P
P04637,GO:0072717,P
P04637,GO:0071480,P
P04637,GO:0042149,P
P04637,GO:0071456,P
P04637,GO:0071479,P
P04637,GO:0034644,P
P04637,GO:0071466,P
P04637,GO:0090398,P
P04637,GO:0006974,P
P04637,GO:0030330,P
P04637,GO:0006983,P
P04637,GO:0002244,P
P04637,GO:0060218,P
P04637,GO:0097193,P
P04637,GO:0072332,P
P04637,GO:0042771,P
P04637,GO:0031571,P
P04637,GO:0009299,P
P04637,GO:0043066,P
P04637,GO:0030308,P
P04637,GO:0008285,P
P04637,GO:0045892,P
P04637,GO:0048147,P
P04637,GO:1903451,P
P04637,GO:0051097,P
P04637,GO:1905856,P
P04637,GO:0032211,P
P04637,GO:0000122,P
P04637,GO:0006289,P
P04637,GO:0097252,P
P04637,GO:0090403,P
P04637,GO:0043065,P
P04637,GO:2000774,P
P04637,GO:0045893,P
P04637,GO:1900119,P
P04637,GO:0010628,P
P04637,GO:2001244,P
P04637,GO:1902895,P
P04637,GO:2000379,P
P04637,GO:0090200,P
P04637,GO:0045899,P
P04637,GO:0045944,P
P04637,GO:0008104,P
P04637,GO:0065003,P
P04637,GO:0007265,P
P04637,GO:0042981,P
P04637,GO:0051726,P
P04637,GO:1902749,P
P04637,GO:0006355,P
P04637,GO:0006357,P
P04637,GO:0090399,P
P04637,GO:0046677,P
P04637,GO:0010332,P
P04637,GO:0072331,P
P04637,GO:0045815,P
P04637,GO:0033209,P
P04637,GO:0016032,P
P09956,GO:0005634,C
P09956,GO:0005705,C
P09956,GO:0043565,F
P09956,GO:0031507,P
P09956,GO:0045893,P
P09956,GO:0010628,P
